"date","time","size","version","os","country","ip_id"
"2022-12-19","14:51:01",79634361,"4.2.2","win","ID",1
"2022-12-19","14:51:15",1050138,"4.2.2","osx","SE",2
"2022-12-19","14:51:09",90304560,"4.2.2","osx","GB",3
"2022-12-19","14:51:20",92792340,"4.2.2","osx","US",4
"2022-12-19","14:51:27",4199715,"4.2.2","osx","CA",5
"2022-12-19","14:51:24",79538110,"4.2.2","win","FR",6
"2022-12-19","14:51:30",79625974,"4.2.2","win","ES",7
"2022-12-19","14:51:28",92792679,"4.2.2","osx","IT",8
"2022-12-19","14:51:35",79627146,"4.2.2","win","DE",9
"2022-12-19","14:51:26",90825201,"4.1.2","osx","US",10
"2022-12-19","14:51:46",79626319,"4.2.2","win","DE",11
"2022-12-19","14:51:33",34025678,"4.2.2","src","US",12
"2022-12-19","14:51:45",79628062,"4.2.2","win",NA,13
"2022-12-19","14:51:43",92688889,"4.2.2","osx","US",14
"2022-12-19","14:51:51",79627091,"4.2.2","win",NA,13
"2022-12-19","14:51:43",79628361,"4.2.2","win","IN",15
"2022-12-19","14:51:52",90304912,"4.2.2","osx",NA,13
"2022-12-19","14:51:56",90825201,"4.1.2","osx","US",16
"2022-12-19","14:52:08",90303660,"4.2.2","osx","TW",17
"2022-12-19","14:49:45",90308138,"4.2.2","osx","CH",18
"2022-12-19","14:52:14",79633230,"4.2.2","win","CL",19
"2022-12-19","14:52:18",90312746,"4.2.2","osx",NA,13
"2022-12-19","14:52:13",79627380,"4.2.2","win","US",20
"2022-12-19","14:52:32",79628775,"4.2.2","win","KR",21
"2022-12-19","14:52:24",79627002,"4.2.2","win","GB",22
"2022-12-19","14:52:28",90304830,"4.2.2","osx","SE",23
"2022-12-19","14:50:33",79627037,"4.2.2","win","US",24
"2022-12-19","14:52:44",4199308,"4.2.2","src","US",25
"2022-12-19","14:52:06",79538105,"4.2.2","win",NA,13
"2022-12-19","14:52:46",79627139,"4.2.2","win",NA,13
"2022-12-19","14:52:55",79626021,"4.2.2","win",NA,13
"2022-12-19","14:52:51",79625651,"4.2.2","win","ES",26
"2022-12-19","14:52:59",90303509,"4.2.2","osx","US",27
"2022-12-19","14:50:49",79627010,"4.2.2","win",NA,13
"2022-12-19","14:53:12",79632268,"4.2.2","win",NA,13
"2022-12-19","14:53:20",90304451,"4.2.2","osx","US",28
"2022-12-19","14:53:26",90303794,"4.2.2","osx","US",29
"2022-12-19","14:53:18",79626967,"4.2.2","win",NA,13
"2022-12-19","14:53:32",90311094,"4.2.2","osx","GB",30
"2022-12-19","14:53:38",1839157,"4.2.2","win","US",31
"2022-12-19","14:53:19",79538109,"4.2.2","win",NA,13
"2022-12-19","14:53:38",1046556,"4.2.2","win","US",31
"2022-12-19","14:53:36",79626426,"4.2.2","win","GB",32
"2022-12-19","14:53:31",90305425,"4.2.2","osx","DE",33
"2022-12-19","14:53:43",92796056,"4.2.2","osx","CA",34
"2022-12-19","14:53:40",79538108,"4.2.2","win","FR",35
"2022-12-19","14:53:35",92794453,"4.2.2","osx","US",28
"2022-12-19","14:53:41",79631600,"4.2.2","win","JP",36
"2022-12-19","14:53:40",34031664,"4.2.2","src",NA,13
"2022-12-19","14:53:52",79627020,"4.2.2","win","KR",37
"2022-12-19","14:53:52",34026714,"4.2.2","src","CA",38
"2022-12-19","14:53:50",79538109,"4.2.2","win","US",39
"2022-12-19","14:53:39",34025713,"4.2.2","src","IN",40
"2022-12-19","14:53:50",79626631,"4.2.2","win",NA,13
"2022-12-19","14:53:58",92791707,"4.2.2","osx",NA,13
"2022-12-19","14:53:58",79628531,"4.2.2","win","FR",41
"2022-12-19","14:54:04",79538101,"4.2.2","win","DE",42
"2022-12-19","14:54:08",34025507,"4.2.2","src","CH",43
"2022-12-19","14:54:08",79626444,"4.2.2","win","TN",44
"2022-12-19","14:54:23",90304408,"4.2.2","osx","DK",45
"2022-12-19","14:52:29",90302931,"4.2.2","osx","CH",18
"2022-12-19","14:54:24",79629604,"4.2.2","win",NA,13
"2022-12-19","14:54:28",991295,"4.2.2","src","US",46
"2022-12-19","14:54:37",79626606,"4.2.2","win","CH",47
"2022-12-19","14:54:34",12139015,"4.2.2","win","US",48
"2022-12-19","14:54:41",20055060,"4.2.2","win","IT",49
"2022-12-19","14:54:42",49991648,"4.2.2","win","ID",50
"2022-12-19","14:54:48",81963781,"devel","win","DE",51
"2022-12-19","14:54:34",90305327,"4.2.2","osx","US",52
"2022-12-19","14:54:44",92793508,"4.2.2","osx","US",53
"2022-12-19","14:54:49",91924164,"4.1.3","osx","US",54
"2022-12-19","14:54:56",90635520,"4.1.3","win","DE",55
"2022-12-19","14:54:49",79538104,"4.2.2","win","HK",56
"2022-12-19","14:54:57",79630349,"4.2.2","win","MX",57
"2022-12-19","14:53:01",92792547,"4.2.2","osx","US",58
"2022-12-19","14:55:01",79626668,"4.2.2","win","US",59
"2022-12-19","14:55:05",79538103,"4.2.2","win","US",60
"2022-12-19","14:55:04",79538109,"4.2.2","win","FR",6
"2022-12-19","14:55:11",90304623,"4.2.2","osx",NA,13
"2022-12-19","14:54:54",92793830,"4.2.2","osx","GB",30
"2022-12-19","14:53:05",92795587,"4.2.2","osx","CH",18
"2022-12-19","14:55:14",92688890,"4.2.2","osx","US",61
"2022-12-19","14:55:14",1004079,"4.2.2","src","US",46
"2022-12-19","14:55:13",90302931,"4.2.2","osx",NA,13
"2022-12-19","14:55:16",79627109,"4.2.2","win","CH",43
"2022-12-19","14:55:16",90306307,"4.2.2","osx","GB",62
"2022-12-19","14:55:21",92688890,"4.2.2","osx","US",61
"2022-12-19","14:55:17",92688890,"4.2.2","osx","US",14
"2022-12-19","14:55:21",92793348,"4.2.2","osx",NA,13
"2022-12-19","14:55:24",92791052,"4.2.2","osx",NA,13
"2022-12-19","14:55:20",90304244,"4.2.2","osx","US",63
"2022-12-19","14:55:16",90304047,"4.2.2","osx","IT",64
"2022-12-19","14:55:22",92688887,"4.2.2","osx","US",10
"2022-12-19","14:55:30",92688890,"4.2.2","osx","US",65
"2022-12-19","14:55:21",92798527,"4.2.2","osx","BR",66
"2022-12-19","14:55:33",90203603,"4.2.2","osx","CA",5
"2022-12-19","14:55:35",92688889,"4.2.2","osx","US",10
"2022-12-19","14:55:39",79626796,"4.2.2","win","RO",67
"2022-12-19","14:55:41",79626957,"4.2.2","win",NA,13
"2022-12-19","14:55:41",1049841,"4.2.2","osx","US",68
"2022-12-19","14:55:45",79629359,"4.2.2","win","BO",69
"2022-12-19","14:55:49",90825201,"4.1.2","osx","US",70
"2022-12-19","14:55:54",90303669,"4.2.2","osx","AR",71
"2022-12-19","14:55:54",79629870,"4.2.2","win","IN",72
"2022-12-19","14:56:01",79626811,"4.2.2","win","IE",73
"2022-12-19","14:56:06",79627254,"4.2.2","win","DO",74
"2022-12-19","14:55:59",79627118,"4.2.2","win",NA,13
"2022-12-19","14:56:06",92796480,"4.2.2","osx","IT",64
"2022-12-19","14:56:04",90304066,"4.2.2","osx","US",75
"2022-12-19","14:56:02",90825201,"4.1.2","osx","US",65
"2022-12-19","14:56:03",1074863,"4.2.2","src","US",46
"2022-12-19","14:56:05",90315270,"4.2.2","osx",NA,13
"2022-12-19","14:56:03",79627101,"4.2.2","win","GB",76
"2022-12-19","00:51:17",90310149,"4.2.2","osx","US",77
"2022-12-19","00:51:38",79626391,"4.2.2","win",NA,13
"2022-12-19","00:51:57",79632865,"4.2.2","win",NA,13
"2022-12-19","00:52:11",92688891,"4.2.2","osx","US",78
"2022-12-19","00:49:52",92688891,"4.2.2","osx","US",65
"2022-12-19","00:51:30",74972828,"3.3.3","osx","MX",79
"2022-12-19","00:52:18",79627243,"4.2.2","win","JP",80
"2022-12-19","00:52:17",79538109,"4.2.2","win","NZ",81
"2022-12-19","00:52:28",92688891,"4.2.2","osx","US",82
"2022-12-19","00:52:37",79538105,"4.2.2","win","DE",83
"2022-12-19","00:52:46",86429689,"3.6.3","win","US",84
"2022-12-19","00:53:03",88238525,"4.0.3","win","US",85
"2022-12-19","00:52:47",90635520,"4.1.3","win","US",86
"2022-12-19","00:52:54",92688891,"4.2.2","osx","US",14
"2022-12-19","00:51:11",92688890,"4.2.2","osx","US",70
"2022-12-19","00:53:43",89416558,"4.0.5","osx","US",87
"2022-12-19","00:53:33",79627009,"4.2.2","win",NA,13
"2022-12-19","00:52:38",79538105,"4.2.2","win","US",88
"2022-12-19","00:54:03",79538105,"4.2.2","win","US",89
"2022-12-19","00:54:02",79538104,"4.2.2","win","US",90
"2022-12-19","00:53:59",79626713,"4.2.2","win",NA,13
"2022-12-19","00:53:57",79627712,"4.2.2","win","JP",91
"2022-12-19","00:54:00",92688891,"4.2.2","osx","US",92
"2022-12-19","00:54:03",92688891,"4.2.2","osx","US",93
"2022-12-19","00:54:10",79631678,"4.2.2","win","BO",94
"2022-12-19","00:54:00",81959964,"devel","win","US",95
"2022-12-19","00:52:10",92688891,"4.2.2","osx","US",65
"2022-12-19","00:52:09",92688891,"4.2.2","osx","US",14
